Tahun,Bulan,Kurs (Rp/US$),Volume ekspor neto (kg)
2015,Jul,13513,31130752360
2015,Aug,14059,29311890624
2015,Sep,14689,28613621544
2015,Oct,13671,31767093333
2015,Nov,13872,29175223525
2015,Dec,13827,28999056410
2016,Jan,13878,28423123910
2016,Feb,13427,25922013199
2016,Mar,13308,28748161127
2016,Apr,13236,27530159300
2016,May,13647,27489526554
2016,Jun,13212,31265178747
2016,Jul,13126,28893165341
2016,Aug,13332,31798841393
2016,Sep,13030,31337103659
2016,Oct,13083,34987225489
2016,Nov,13595,33801502153
2016,Dec,13468,32563203622
2017,Jan,13375,31888102569
2017,Feb,13379,24827510917
2017,Mar,13353,34302896873
2017,Apr,13359,31816510459
2017,May,13353,29053037232
2017,Jun,13351,28831856885
2017,Jul,13355,31630077075
2017,Aug,13383,33313532505
2017,Sep,13524,35272186045
2017,Oct,13604,36116858014
2017,Nov,13546,33348160345
2017,Dec,13580,34696617497
2018,Jan,13445,34980096216
2018,Feb,13739,32255917237
2018,Mar,13788,39098735392
2018,Apr,13909,32582556143
2018,May,13983,35133349568
2018,Jun,14436,39244415028
2018,Jul,14445,38908401433
2018,Aug,14743,33064586975
2018,Sep,14961,37532276084
2018,Oct,15259,40783355677
2018,Nov,14371,35522565998
2018,Dec,14513,38081837978
2019,Jan,14104,41356113813
2019,Feb,14094,36303727676
2019,Mar,14276,44432829143
2019,Apr,14247,38313964268
2019,May,14417,43046177921
2019,Jun,14173,36318118574
2019,Jul,14058,42976587044
2019,Aug,14269,39772421487
2019,Sep,14206,41176432970
